rows,columns,threads,time
5000,5000,8,0.283679
5000,5000,8,0.284038
5000,5000,8,0.297022
5000,5000,8,0.282601
5000,5000,8,0.269249
5000,5000,8,0.262131
5000,5000,8,0.264645
5000,5000,8,0.269698
5000,5000,8,0.273290
5000,5000,8,0.275885
5000,5000,8,0.277681
5000,5000,8,0.278227
5000,5000,8,0.281269
5000,5000,8,0.283542
5000,5000,8,0.257686
5000,5000,8,0.260545
5000,5000,8,0.264333
5000,5000,8,0.266555
5000,5000,8,0.270119
5000,5000,8,0.298004
5000,5000,8,0.286039
5000,5000,8,0.299150
5000,5000,8,0.283944
5000,5000,8,0.278808
5000,5000,8,0.282140
5000,5000,8,0.284778
5000,5000,8,0.261932
5000,5000,8,0.262002
5000,5000,8,0.266044
5000,5000,8,0.270626
5000,5000,8,0.273495
5000,5000,8,0.275449
5000,5000,8,0.280217
5000,5000,8,0.284114
5000,5000,8,0.259149
5000,5000,8,0.261896
5000,5000,8,0.290268
5000,5000,8,0.277394
5000,5000,8,0.291427
5000,5000,8,0.275007
5000,5000,8,0.269003
5000,5000,8,0.272763
5000,5000,8,0.275973
5000,5000,8,0.279598
5000,5000,8,0.282545
5000,5000,8,0.258115
5000,5000,8,0.261195
5000,5000,8,0.264451
5000,5000,8,0.268172
5000,5000,8,0.271195
5000,5000,8,0.274410
5000,5000,8,0.277495
5000,5000,8,0.280020
5000,5000,8,0.279381
5000,5000,8,0.294286
5000,5000,8,0.280813
5000,5000,8,0.265970
5000,5000,8,0.264225
5000,5000,8,0.267078
5000,5000,8,0.269785
5000,5000,8,0.271212
5000,5000,8,0.274813
5000,5000,8,0.277165
5000,5000,8,0.278745
5000,5000,8,0.281935
5000,5000,8,0.256527
5000,5000,8,0.260384
5000,5000,8,0.261832
5000,5000,8,0.264641
5000,5000,8,0.293199
5000,5000,8,0.280791
5000,5000,8,0.295687
5000,5000,8,0.281745
5000,5000,8,0.277254
5000,5000,8,0.281062
5000,5000,8,0.285417
5000,5000,8,0.259432
5000,5000,8,0.261745
5000,5000,8,0.264383
5000,5000,8,0.267646
5000,5000,8,0.271195
5000,5000,8,0.272891
5000,5000,8,0.275934
5000,5000,8,0.280361
5000,5000,8,0.284554
5000,5000,8,0.257663
5000,5000,8,0.261021
5000,5000,8,0.290574
5000,5000,8,0.276750
5000,5000,8,0.288556
5000,5000,8,0.276609
5000,5000,8,0.271185
5000,5000,8,0.274655
5000,5000,8,0.275838
5000,5000,8,0.279586
5000,5000,8,0.283239
